exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0648308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0677231,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0677231
0.0706462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0707846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0735692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0752462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0824846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0878231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0842692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0933231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107446,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1702,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.205577,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.245231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.249,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.248577,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.250808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252085,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252946,-999,0.252946,-999,-999,-999,-999,-999,-999,-999,-999
0.238223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2383,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.223831,-999,-999,-999,-999,-999,0.223831,-999,-999,-999,-999
0.200146,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.145746,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.126508,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.111331,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.116062,-999,-999,-999,-999,0.116062,-999,-999,-999,-999,-999
0.114385,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107677,-999,-999,-999,-999,-999,-999,0.107677,-999,-999,-999
0.0981846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0989692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0986462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0947,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0949154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0909769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0886462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.130777,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.164462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.208123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.218992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.233254,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.235223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2361,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.238062,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.207808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.171923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1218,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.102792,-999,-999,-999,-999,0.102792,-999,-999,-999,-999,-999
0.0778923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0730308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0705154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0649231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0689308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
