exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0879167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0865818,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.087375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0433111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0428583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0422308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0430231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0421462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0415846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0406923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0430462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0461692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0486538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0493538,-999,-999,-999,-999,-999,-999,0.0493538,-999,-999,-999
0.0472231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0490077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0485,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0470538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0499231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0475692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0471923,-999,-999,-999,0.0471923,-999,-999,-999,-999,-999,-999
0.0472462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0454154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0434154,-999,-999,-999,-999,-999,-999,-999,-999,0.0434154,-999
0.0407231,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0407231
0.0396461,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0382154,-999,-999,-999,-999,-999,0.0382154,-999,-999,-999,-999
0.0379461,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0412077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0403231,-999,-999,-999,-999,-999,-999,0.0403231,-999,-999,-999
0.0416231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0391154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0402692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0396769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0399615,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0406923,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0406923
0.0411462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0432615,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0431308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0399615,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0386462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0361923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0335923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0322769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0300385,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0279231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0275692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0290462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0289308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0290615,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0313308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
